codigo,bairro,categoria_principal,categoria_secundaria,qtde,ano,mês
E01000001,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2008,3
E01032739,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2016,3
E01032739,Cidade de Londres,Violência contra a pessoa,Agressão comum,2,2014,10
E01032739,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2008,9
E01032739,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2013,7
E01000003,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2011,2
E01000001,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2015,5
E01032739,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2008,6
E01000003,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2009,11
E01032739,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2011,11
E01032739,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2011,5
E01032740,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2015,11
E01000002,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2012,7
E01032740,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2010,12
E01000005,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2012,8
E01032739,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2014,6
E01000002,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2011,5
E01000003,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2012,4
E01000001,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2008,12
E01032739,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2012,8
E01000003,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2013,7
E01032739,Cidade de Londres,Violência contra a pessoa,Agressão comum,1,2014,5
E01000002,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2008,11
E01000005,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2016,11
E01000003,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2008,5
E01032739,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2015,10
E01000001,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2012,9
E01000005,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2009,7
E01000005,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2009,6
E01032740,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2008,10
E01032739,Cidade de Londres,Violência contra a pessoa,Agressão comum,1,2013,9
E01000003,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2014,1
E01032739,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2015,7
E01000005,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2012,4
E01032739,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2012,4
E01032739,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2008,3
E01000005,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2015,6
E01000005,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2010,7
E01000002,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2014,4
E01032739,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2009,4
E01000005,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2010,4
E01000002,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2009,5
E01032740,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2012,12
E01000002,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2014,6
E01000003,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2012,5
E01032739,Cidade de Londres,Violência contra a pessoa,Agressão comum,1,2014,4
E01000003,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2011,11
E01032739,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2014,8
E01032739,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2015,5
E01000001,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2012,6
E01032740,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2010,11
E01032739,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2008,7
E01000001,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2008,4
E01000003,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2014,9
E01000005,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2010,12
E01000002,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2015,5
E01000002,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2015,7
E01000005,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2015,2
E01032740,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2016,11
E01032739,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2013,3
E01000002,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2013,3
E01000001,Cidade de Londres,Violência contra a pessoa,Outras Violências,0,2011,5
E01000001,Cidade de Londres,Violência contra a pessoa,Outras Violências,0,2010,4
E01032739,Cidade de Londres,Violência contra a pessoa,Outras Violências,0,2015,3
E01000001,Cidade de Londres,Violência contra a pessoa,Outras Violências,0,2014,2
E01000001,Cidade de Londres,Violência contra a pessoa,Outras Violências,0,2012,2
E01000001,Cidade de Londres,Violência contra a pessoa,Outras Violências,0,2014,1
E01032739,Cidade de Londres,Violência contra a pessoa,Outras Violências,0,2012,5
E01032739,Cidade de Londres,Drogas,Tráfico de Drogas,0,2015,7
E01000001,Cidade de Londres,Drogas,Tráfico de Drogas,0,2012,9
E01000001,Cidade de Londres,Drogas,Tráfico de Drogas,0,2011,2
E01032740,Cidade de Londres,Drogas,Tráfico de Drogas,0,2015,6
E01032739,Cidade de Londres,Drogas,Tráfico de Drogas,0,2009,6
E01032740,Cidade de Londres,Drogas,Tráfico de Drogas,0,2012,10
E01032739,Cidade de Londres,Drogas,Tráfico de Drogas,0,2012,4
E01000001,Cidade de Londres,Drogas,Tráfico de Drogas,0,2015,3
E01032739,Cidade de Londres,Drogas,Tráfico de Drogas,0,2013,10
E01032740,Cidade de Londres,Drogas,Tráfico de Drogas,0,2013,8
E01000001,Cidade de Londres,Drogas,Tráfico de Drogas,0,2011,12
